cluster_id,size,top_terms,sample_titles,name
35,5966,john|actor|james|michael|jack|william|george|name|david|paul,Eric van der Woodsen|Aidan Turner|Darrell Hammond|Sean Gunn|Michael Sorrentino,John & Actor & James & Michael & Jack
0,3775,cup|world|2018|football|olympics|fifa|league|cricket|national|team,Sports in the Las Vegas metropolitan area|PDC World Darts Championship|The Cure at Troy|2007 Cricket World Cup Group B|2018 Tournament of Nations,Cup & World & 2018 & Football & Olympics
17,3770,you|love|your|don|can|all|like|heart|how|way,I've Got the Joy Joy Joy Joy|Call Me by Your Name (novel)|You Make My Dreams|No More Lonely Nights|Find Your Love,You & Love & Your & Don & Can
3,3708,song|album|you|christmas|dance|love|all|one|songs|life,Jingle All the Way|Middle of the Road (song)|My Hero (Foo Fighters song)|I'll Be Home on Christmas Day|The Woman in Me (Shania Twain album),Song & Album & You & Christmas & Dance
2,3611,history|flag|visa|united|war|states|relations|china|languages|french,Great Wall of China|Colonial government in the Thirteen Colonies|Category:Bays of Asia|Belize|China–Japan relations,History & Flag & Visa & United & War
9,3490,new|city|york|florida|california|carolina|north|san|texas|south,U.S. Route 1|West Virginia|Helion Lodge|Seal of Pennsylvania|Treasure Coast,New & City & York & Florida & California
10,3372,season|episodes|series|characters|show|vampire|next|big|top|dead,Grey's Anatomy (season 14)|List of Death in Paradise characters|Rick and Morty (season 2)|Crowley (Supernatural)|List of Misfits episodes,Season & Episodes & Series & Characters & Show
41,3172,film|hai|singh|dil|name|series|pyaar|khan|bigg|boss,Sasuke Uchiha|Akathisia|Saara Aalto|Hum Ho Gaye Aapke|Shari Shattuck,Film & Hai & Singh & Dil & Name
19,3152,united|act|states|law|rights|national|land|civil|human|nations,Declaration on the Rights of Indigenous Peoples|Youth detention center|Women's shelter|Solicitor|Violent Crime Control and Law Enforcement Act,United & Act & States & Law & Rights
4,3124,name|mary|sarah|given|alice|elizabeth|lady|kelly|actress|jane,Selena Gomez|Cynthia Rhodes|Judith (given name)|Joanne Froggatt|Jessica Curry,Name & Mary & Sarah & Given & Alice
42,2914,film|house|series|novel|dark|films|man|night|game|story,What We Do in the Shadows|Lost City of Z|Butch and Sundance: The Early Days|No Shade in the Shadow of the Cross|The Giver (film),Film & House & Series & Novel & Dark
27,2892,india|south|philippines|africa|indian|pakistan|nigeria|history|minister|united,List of Chief Ministers of West Bengal|Prime Minister of Singapore|Crime in the Philippines|List of districts in Jammu and Kashmir|Pakistan Aeronautical Complex,India & South & Philippines & Africa & Indian
11,2747,name|del|surname|polo|los|las|des|film|est|quando,Tabula rasa|N'Golo Kanté|Ikebana|Saoirse (given name)|Tadeusz Kościuszko,Name & Del & Surname & Polo & Los
5,2733,bank|united|states|tax|act|insurance|financial|market|dollar|coin,World Economic Forum|Balanced budget amendment|Laboratory safety|Foundation (nonprofit)|Risk–benefit ratio,Bank & United & States & Tax & Act
13,2730,day|world|time|night|man|rain|sun|death|days|life,Republic Day (India)|Clock angle problem|Sunroof|City Lights|Minute to Win It,Day & World & Time & Night & Man
21,2541,characters|film|series|star|comics|game|dragon|wars|disney|king,Windsor Castle|Richie Rich (comics)|Diary of a Wimpy Kid: The Long Haul|Wolverine|Reynolds v. Sims,Characters & Film & Series & Star & Comics
44,2526,cell|acid|protein|blood|biology|disease|drug|dna|chloride|human,Dominance (genetics)|Blood In Blood Out|Glycocalyx|Xeroderma pigmentosum|Long-term effects of cannabis,Cell & Acid & Protein & Blood & Biology
32,2246,football|league|basketball|season|baseball|bowl|national|men|major|ncaa,Super Bowl 50 halftime show|Cleveland Cavaliers|List of Major League Baseball batting champions|BBC Sports Personality of the Year|Lineman (gridiron football),Football & League & Basketball & Season & Baseball
45,2180,test|number|wave|unit|point|scale|power|function|square|system,Therefore sign|Erlang (unit)|Cross section (geometry)|Standard cubic feet per minute|Atypical,Test & Number & Wave & Unit & Point
15,2170,surname|david|name|van|alex|john|jean|robert|louis|alexander,Surname|Peter Dinklage|Zlatan Ibrahimović|Santa Cruz das Flores|Franz Brentano,Surname & David & Name & Van & Alex
28,2132,dog|film|cat|horse|bird|bear|red|lion|tiger|black,Monkey's uncle|The Bad News Bears in Breaking Training|Scorpion|Monkey Life (TV series)|Gang population,Dog & Film & Cat & Horse & Bird
23,2130,united|states|countries|new|history|cities|population|islands|australia|zealand,List of regions of the United States|Demographics of New Zealand|Category:Local government districts of North West England|Statehood movement in Puerto Rico|Glasgow City Council,United & States & Countries & New & History
14,2087,church|ancient|roman|catholic|history|temple|saint|religion|cathedral|greek,History of Islam|Seventh-day Adventist Church|List of libraries in the ancient world|Spanish literature|Restoration of the Sistine Chapel frescoes,Church & Ancient & Roman & Catholic & History
18,2046,water|gas|energy|carbon|fuel|electric|solar|chemistry|heat|magnetic,Super-G|Water retention (medicine)|Waste container|Lithium carbonate|Satellite temperature measurements,Water & Gas & Energy & Carbon & Fuel
7,2040,school|university|high|education|college|institute|technology|schools|united|national,Marjory Stoneman Douglas High School|Purdue University|La Jolla Institute for Allergy and Immunology|Netai Charan Chakravarty Homoeopathic Medical College & Hospital|National Institute on Drug Abuse,School & University & High & Education & College
1,1976,alpha|sonnet|phi|character|sigma|omega|bigg|boss|beta|kappa,Zippo|Apgar score|Embouchure|Mendeleev's predicted elements|No Diggity,Alpha & Sonnet & Phi & Character & Sigma
8,1941,fire|blue|color|eye|wind|red|glass|black|line|light,A Whiter Shade of Pale|Skeleton in the closet (idiom)|Quarter tone|Domestic Efficient Lighting Programme|A Column of Fire,Fire & Blue & Color & Eye & Wind
36,1891,data|software|memory|system|management|wikipedia|programming|computer|model|computing,Non-volatile memory|Factor analysis|Main Source|Digital signature|Memory errors,Data & Software & Memory & System & Management
43,1890,music|band|songs|tour|rock|singles|one|number|billboard|hot,List of most streamed songs on Spotify|The Gap Band|The Marshall Tucker Band|Lady Sings the Blues (film)|The Best of Pantera: Far Beyond the Great Southern Cowboys' Vulgar Hits!,Music & Band & Songs & Tour & Rock
16,1850,sea|mount|cuisine|ocean|tower|mountain|mountains|zone|boat|geology,The Ocean at the End of the Lane|Continental crust|Mogul skiing|Geodesic dome|Coastal Regulation Zone,Sea & Mount & Cuisine & Ocean & Tower
24,1810,theory|social|group|psychology|history|disorder|journal|self|ethics|personality,List of psychological research methods|History of the function concept|SEC Rule 10b-5|Psychoneuroimmunology|Mystery Case Files,Theory & Social & Group & Psychology & History
20,1793,muscle|bone|nerve|syndrome|human|system|body|artery|brain|pressure,Electroencephalography|Composition of the human body|Patellar tendon rupture|Ectopic pregnancy|Gastrovascular cavity,Muscle & Bone & Nerve & Syndrome & Human
49,1784,united|states|election|court|presidential|party|state|2018|district|general,"List of tie-breaking votes cast by vice presidents of the United States|New South Wales referendum, 1961|Florida Mental Health Act|Elections in the Bahamas|United States Senate election in Pennsylvania, 2018",United & States & Election & Court & Presidential
37,1724,fish|tree|bar|animal|egg|shark|cheese|chicken|golden|ice,Cadbury|Girl Scout Cookies|Lipstick on a pig|Charlotte Russe (clothing retailer)|Cherry shrimp,Fish & Tree & Bar & Animal & Egg
47,1620,river|lake|bridge|park|national|hurricane|rivers|earthquake|canal|dam,Redwood National and State Parks|Hurricane Relief T20 Challenge|List of rivers of Texas|Strait of Messina Bridge|1976 Moro Gulf earthquake,River & Lake & Bridge & Park & National
22,1616,film|soundtrack|musical|girl|angel|time|heaven|wedding|boy|once,Charlie's Angels: Full Throttle|The Last Picture Show|The Girl with All the Gifts|Afghan Girl|Hidden file and hidden directory,Film & Soundtrack & Musical & Girl & Angel
40,1482,engine|ford|car|toyota|honda|vehicle|chevrolet|series|motor|model,Cars 3|Ford Crown Victoria Police Interceptor|Machine Gun Preacher|Jet engine|GeForce 8 series,Engine & Ford & Car & Toyota & Honda
12,1358,windows|network|key|history|samsung|computer|galaxy|microsoft|system|mobile,IEEE 802.11|IPv6 address|Vitaphone|OnePlus 5|Stuxnet,Windows & Network & Key & History & Samsung
30,1352,united|states|army|air|force|military|museum|navy|gun|police,Watchman (law enforcement)|Royal Flying Doctor Service of Australia|Military accessions vital to national interest|Garud Commando Force|Police vehicles in the United States and Canada,United & States & Army & Air & Force
26,1318,moon|star|game|games|video|stars|film|xbox|sky|planet,Traveling Wilburys|Mars (mythology)|Andromeda Galaxy|Titanic II (film)|Wii Remote,Moon & Star & Game & Games & Video
34,1261,food|alcohol|wine|beer|coffee|sugar|united|plant|history|states,Comedians in Cars Getting Coffee|Happy Meal|Thirst|The Hangover Part II|British American Tobacco,Food & Alcohol & Wine & Beer & Coffee
29,1258,book|god|bible|jesus|biblical|matthew|books|literature|names|mythology,Lord's Prayer|Parable of the Wise and the Foolish Builders|A Psalm of Life|HarmonQuest|BBC Television Shakespeare,Book & God & Bible & Jesus & Biblical
46,1242,war|battle|world|american|civil|united|states|wars|history|siege,American Civil War|Second Battle of Bull Run|Allied invasion of Italy|German prisoners of war in the United Kingdom|List of United States divisions during World War II,War & Battle & World & American & Civil
48,1076,station|airport|railway|international|metro|airlines|destinations|london|rail|buildings,List of tallest buildings in Las Vegas|Blue Line (Delhi Metro)|Salt Lake Sector-V Metro Station|History of rail transport in Australia|Auto Train,Station & Airport & Railway & International & M...
31,1069,television|radio|theatre|channel|united|network|news|film|states|most,The Washington Post|Satellite dish|Golden Age of Television (2000s–present)|Lifestyles of the Rich and Famous|Category:Television shows set in Washington (state),Television & Radio & Theatre & Channel & United
6,1052,rose|queen|film|princess|brothers|bell|king|miss|prince|family,The Bob & Tom Show|Tinker Bell (film series)|Rowan & Martin's Laugh-In|George Harrison: Living in the Material World|Beowulf & Grendel,Rose & Queen & Film & Princess & Brothers
38,1009,art|history|english|language|century|words|american|renaissance|middle|latin,Prehistoric technology|Another Mother for Peace|Bodies: The Exhibition|List of archaeological periods|English for academic purposes,Art & History & English & Language & Century
25,900,oil|power|united|nuclear|energy|states|environmental|mining|industry|india,Kyoto|Wheat production in the United States|Price of oil|Carrier oil|Steam-electric power station,Oil & Power & United & Nuclear & Energy
33,431,awards|award|received|best|nominations|academy|prize|music|film|nobel,2017 Nobel Peace Prize|BET Awards 2018|60th Annual Grammy Awards|Academy Award for Best Animated Short Film|Grammy Award for Best Pop Vocal Album,Awards & Award & Received & Best & Nominations
39,114,area|code|codes|mexico|north|american|808|600|699|705,Area code 808|Area code 562|Area codes 704 and 980|Area code 218|Area codes 571 and 703,Area & Code & Codes & Mexico & North
